"Notes"	"Census Division"	"Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Jan., 2014"	"2014/01"	247	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2014"	"2014/02"	254	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2014"	"2014/03"	227	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2014"	"2014/04"	174	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2014"	"2014/05"	216	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2014"	"2014/06"	221	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2014"	"2014/07"	164	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2014"	"2014/08"	220	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2014"	"2014/09"	200	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2014"	"2014/10"	254	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2014"	"2014/11"	209	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2014"	"2014/12"	243	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2015"	"2015/01"	291	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2015"	"2015/02"	275	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2015"	"2015/03"	302	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2015"	"2015/04"	273	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2015"	"2015/05"	266	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2015"	"2015/06"	265	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2015"	"2015/07"	288	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2015"	"2015/08"	263	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2015"	"2015/09"	336	Not Applicable	Not Applicable
