"Notes"	"Census Division"	"Census Division Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Mar., 2014"	"2014/03"	20	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Apr., 2014"	"2014/04"	13	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"May, 2014"	"2014/05"	20	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jun., 2014"	"2014/06"	19	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jul., 2014"	"2014/07"	11	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Aug., 2014"	"2014/08"	10	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Sep., 2014"	"2014/09"	24	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Oct., 2014"	"2014/10"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Nov., 2014"	"2014/11"	13	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Dec., 2014"	"2014/12"	14	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jan., 2015"	"2015/01"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Feb., 2015"	"2015/02"	22	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Mar., 2015"	"2015/03"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Apr., 2015"	"2015/04"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"May, 2015"	"2015/05"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jun., 2015"	"2015/06"	16	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jul., 2015"	"2015/07"	20	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Aug., 2015"	"2015/08"	21	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Sep., 2015"	"2015/09"	22	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Oct., 2015"	"2015/10"	31	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Nov., 2015"	"2015/11"	21	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Dec., 2015"	"2015/12"	18	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jan., 2016"	"2016/01"	19	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Feb., 2016"	"2016/02"	36	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Mar., 2016"	"2016/03"	27	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Apr., 2016"	"2016/04"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"May, 2016"	"2016/05"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jun., 2016"	"2016/06"	17	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Jul., 2016"	"2016/07"	26	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Aug., 2016"	"2016/08"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Sep., 2016"	"2016/09"	28	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Oct., 2016"	"2016/10"	25	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Nov., 2016"	"2016/11"	25	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	"Dec., 2016"	"2016/12"	22	Not Applicable	Not Applicable
