"Notes"	"Census Division"	"Census Division Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jan., 2014"	"2014/01"	72	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Feb., 2014"	"2014/02"	79	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Mar., 2014"	"2014/03"	76	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Apr., 2014"	"2014/04"	48	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"May, 2014"	"2014/05"	65	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jun., 2014"	"2014/06"	68	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jul., 2014"	"2014/07"	44	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Aug., 2014"	"2014/08"	53	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Sep., 2014"	"2014/09"	69	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Oct., 2014"	"2014/10"	77	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Nov., 2014"	"2014/11"	63	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Dec., 2014"	"2014/12"	79	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jan., 2015"	"2015/01"	79	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Feb., 2015"	"2015/02"	68	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Mar., 2015"	"2015/03"	85	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Apr., 2015"	"2015/04"	78	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"May, 2015"	"2015/05"	67	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jun., 2015"	"2015/06"	78	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jul., 2015"	"2015/07"	72	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Aug., 2015"	"2015/08"	67	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Sep., 2015"	"2015/09"	103	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Oct., 2015"	"2015/10"	89	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Nov., 2015"	"2015/11"	89	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Dec., 2015"	"2015/12"	63	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jan., 2016"	"2016/01"	90	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Feb., 2016"	"2016/02"	97	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Mar., 2016"	"2016/03"	104	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Apr., 2016"	"2016/04"	96	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"May, 2016"	"2016/05"	104	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jun., 2016"	"2016/06"	100	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Jul., 2016"	"2016/07"	113	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Aug., 2016"	"2016/08"	95	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Female"	"F"	"Sep., 2016"	"2016/09"	90	Not Applicable	Not Applicable
