"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jan., 2014"	"2014/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Feb., 2014"	"2014/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Mar., 2014"	"2014/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Apr., 2014"	"2014/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"May, 2014"	"2014/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jun., 2014"	"2014/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jul., 2014"	"2014/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Aug., 2014"	"2014/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Sep., 2014"	"2014/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Oct., 2014"	"2014/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Nov., 2014"	"2014/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Dec., 2014"	"2014/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jan., 2015"	"2015/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Feb., 2015"	"2015/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Mar., 2015"	"2015/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Apr., 2015"	"2015/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"May, 2015"	"2015/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jun., 2015"	"2015/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jul., 2015"	"2015/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Aug., 2015"	"2015/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Sep., 2015"	"2015/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Oct., 2015"	"2015/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Nov., 2015"	"2015/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Dec., 2015"	"2015/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jan., 2016"	"2016/01"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Feb., 2016"	"2016/02"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Mar., 2016"	"2016/03"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Apr., 2016"	"2016/04"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"May, 2016"	"2016/05"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jun., 2016"	"2016/06"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jul., 2016"	"2016/07"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Aug., 2016"	"2016/08"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Sep., 2016"	"2016/09"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Oct., 2016"	"2016/10"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Nov., 2016"	"2016/11"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Dec., 2016"	"2016/12"	0	Not Applicable	Not Applicable
	"Mental and behavioural disorders due to use of opioids, acute intoxication"	"F11.0"	"Jan., 2017"	"2017/01"	0	Not Applicable	Not Applicable
