"Notes"	"HHS Region"	"HHS Region Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	73	14680722	0.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	63	14727584	0.4
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	72	14735525	0.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	38	14810001	0.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2015"	"2015"	15	14727584	Unreliable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2016"	"2016"	12	14735525	Unreliable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2017"	"2017"	15	14810001	Unreliable
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2014"	"2014"	197	14680722	1.3
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2015"	"2015"	97	14727584	0.7
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2016"	"2016"	118	14735525	0.8
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	"2017"	"2017"	163	14810001	1.1
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Heroin"	"T40.1"	"2014"	"2014"	1016	14680722	6.9
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Heroin"	"T40.1"	"2015"	"2015"	1246	14727584	8.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Heroin"	"T40.1"	"2016"	"2016"	1254	14735525	8.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Heroin"	"T40.1"	"2017"	"2017"	1059	14810001	7.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other opioids"	"T40.2"	"2014"	"2014"	611	14680722	4.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other opioids"	"T40.2"	"2015"	"2015"	722	14727584	4.9
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other opioids"	"T40.2"	"2016"	"2016"	808	14735525	5.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other opioids"	"T40.2"	"2017"	"2017"	691	14810001	4.7
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Methadone"	"T40.3"	"2014"	"2014"	230	14680722	1.6
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Methadone"	"T40.3"	"2015"	"2015"	255	14727584	1.7
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Methadone"	"T40.3"	"2016"	"2016"	287	14735525	1.9
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Methadone"	"T40.3"	"2017"	"2017"	268	14810001	1.8
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other synthetic narcotics"	"T40.4"	"2014"	"2014"	872	14680722	5.9
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other synthetic narcotics"	"T40.4"	"2015"	"2015"	1748	14727584	11.9
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other synthetic narcotics"	"T40.4"	"2016"	"2016"	2875	14735525	19.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other synthetic narcotics"	"T40.4"	"2017"	"2017"	3295	14810001	22.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Cocaine"	"T40.5"	"2014"	"2014"	564	14680722	3.8
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Cocaine"	"T40.5"	"2015"	"2015"	773	14727584	5.2
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Cocaine"	"T40.5"	"2016"	"2016"	1100	14735525	7.5
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Cocaine"	"T40.5"	"2017"	"2017"	1299	14810001	8.8
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other and unspecified narcotics"	"T40.6"	"2014"	"2014"	550	14680722	3.7
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other and unspecified narcotics"	"T40.6"	"2015"	"2015"	587	14727584	4.0
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other and unspecified narcotics"	"T40.6"	"2016"	"2016"	445	14735525	3.0
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Other and unspecified narcotics"	"T40.6"	"2017"	"2017"	285	14810001	1.9
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2014"	"2014"	108	28684402	0.4
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2015"	"2015"	131	28753804	0.5
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2016"	"2016"	147	28689758	0.5
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	"2017"	"2017"	167	28855043	0.6
	"HHS Region #2  NJ, NY"	"HHS2"	"Mental and behavioural disorders due to use of opioids, dependence syndrome"	"F11.2"	"2014"	"2014"	11	28684402	Unreliable
